repo_id,module,human_score,ai_score,delta
116547,cuke4duke-maven-plugin,0,0,0
121672,cascading-core,0,0,0
123235,app,0,0,0
135867,web-nutsNbolts,0,0,0
145875,dbdeploy-core,0,0,0
152134,koskela,0,0,0
152812,core,0.5,0,-0.5
154520,vraptor-core,1,0,-1
160996,util,0,0,0
160999,zookeeper-server,0,0,0
161005,jspwiki-main,0,0,0
168535,alterego,0.24137931,0,-0.24137931
169928,DVR,0,0,0
184604,twitter4j-core,0,0,0
200121,constretto-core,0,0,0
206318,fop-core,0,0,0
206322,maven-ejb-plugin,0,0,0
206341,enforcer-rules,0,0,0
206364,openjpa-lib,0,0,0
206366,coap,0,0,0
206398,httpcore5,0,0,0
206402,httpclient5-cache,0,0,0
206403,jackrabbit-spi2dav,0,0,0
206437,xdbm-partition,0,0,0
32578,service,0,0,0
